Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_130_156,VPWR,li1,77.9700,367.2000,1.799874
FILLER_130_153,VPWR,li1,76.5900,367.2000,1.799880
FILLER_130_150,VPWR,li1,75.2100,367.2000,1.799880
FILLER_130_147,VPWR,li1,73.8300,367.2000,1.799885
FILLER_130_144,VPWR,li1,72.4500,367.2000,1.799885
FILLER_130_141,VPWR,li1,71.0700,367.2000,1.799889
FILLER_130_137,VPWR,li1,69.2300,367.2000,1.799894
FILLER_130_134,VPWR,li1,67.8500,367.2000,1.799894
FILLER_130_131,VPWR,li1,66.4700,367.2000,1.799899
FILLER_130_128,VPWR,li1,65.0900,367.2000,1.799899
FILLER_130_125,VPWR,li1,63.7100,367.2000,1.799904
FILLER_130_122,VPWR,li1,62.3300,367.2000,1.799904
FILLER_130_119,VPWR,li1,60.9500,367.2000,1.799909
FILLER_130_116,VPWR,li1,59.5700,367.2000,1.799909
FILLER_130_113,VPWR,li1,58.1900,367.2000,1.799914
FILLER_130_109,VPWR,li1,56.3500,367.2000,1.799918
FILLER_130_106,VPWR,li1,54.9700,367.2000,1.799918
FILLER_130_103,VPWR,li1,53.5900,367.2000,1.799923
FILLER_130_100,VPWR,li1,52.2100,367.2000,1.799923
FILLER_130_97,VPWR,li1,50.8300,367.2000,1.799929
FILLER_130_94,VPWR,li1,49.4500,367.2000,1.799929
FILLER_130_91,VPWR,li1,48.0700,367.2000,1.799934
FILLER_130_88,VPWR,li1,46.6900,367.2000,1.799934
FILLER_130_85,VPWR,li1,45.3100,367.2000,1.799938
FILLER_130_81,VPWR,li1,43.4700,367.2000,1.799942
FILLER_130_78,VPWR,li1,42.0900,367.2000,1.799942
FILLER_130_75,VPWR,li1,40.7100,367.2000,1.799948
FILLER_130_72,VPWR,li1,39.3300,367.2000,1.799948
FILLER_130_69,VPWR,li1,37.9500,367.2000,1.799953
FILLER_130_66,VPWR,li1,36.5700,367.2000,1.799953
FILLER_130_63,VPWR,li1,35.1900,367.2000,1.799958
FILLER_130_60,VPWR,li1,33.8100,367.2000,1.799958
FILLER_130_57,VPWR,li1,32.4300,367.2000,1.799963
FILLER_130_53,VPWR,li1,30.5900,367.2000,1.799967
FILLER_130_50,VPWR,li1,29.2100,367.2000,1.799967
FILLER_130_47,VPWR,li1,27.8300,367.2000,1.799972
FILLER_130_44,VPWR,li1,26.4500,367.2000,1.799972
FILLER_130_41,VPWR,li1,25.0700,367.2000,1.799977
FILLER_130_38,VPWR,li1,23.6900,367.2000,1.799977
FILLER_130_35,VPWR,li1,22.3100,367.2000,1.799981
FILLER_130_32,VPWR,li1,20.9300,367.2000,1.799981
FILLER_130_29,VPWR,li1,19.5500,367.2000,1.799981
FILLER_130_27,VPWR,li1,18.1700,367.2000,1.799981
FILLER_130_24,VPWR,li1,17.2500,367.2000,1.799981
FILLER_130_21,VPWR,li1,15.8700,367.2000,1.799981
FILLER_130_18,VPWR,li1,14.4900,367.2000,1.799981
FILLER_130_15,VPWR,li1,13.1100,367.2000,1.799981
FILLER_130_12,VPWR,li1,11.7300,367.2000,1.799981
FILLER_130_9,VPWR,li1,10.3500,367.2000,1.799981
FILLER_130_6,VPWR,li1,8.9700,367.2000,1.799981
FILLER_130_3,VPWR,li1,7.5900,367.2000,1.799981
FILLER_129_774,VPWR,li1,362.2500,361.7600,1.799680
FILLER_129_771,VPWR,li1,360.8700,361.7600,1.799680
FILLER_129_768,VPWR,li1,359.4900,361.7600,1.799680
FILLER_129_765,VPWR,li1,358.1100,361.7600,1.799680
FILLER_129_762,VPWR,li1,356.7300,361.7600,1.799680
FILLER_129_759,VPWR,li1,355.3500,361.7600,1.799680
FILLER_129_756,VPWR,li1,353.9700,361.7600,1.799680
FILLER_129_753,VPWR,li1,352.5900,361.7600,1.799680
FILLER_129_750,VPWR,li1,351.2100,361.7600,1.799680
FILLER_129_747,VPWR,li1,349.8300,361.7600,1.799680
FILLER_129_744,VPWR,li1,348.4500,361.7600,1.799680
FILLER_129_741,VPWR,li1,347.0700,361.7600,1.799680
FILLER_129_738,VPWR,li1,345.6900,361.7600,1.799680
FILLER_129_735,VPWR,li1,344.3100,361.7600,1.799680
FILLER_129_732,VPWR,li1,342.9300,361.7600,1.799680
FILLER_129_729,VPWR,li1,341.5500,361.7600,1.799680
FILLER_129_727,VPWR,li1,340.1700,361.7600,1.799680
FILLER_129_724,VPWR,li1,339.2500,361.7600,1.799680
FILLER_129_721,VPWR,li1,337.8700,361.7600,1.799680
FILLER_129_718,VPWR,li1,336.4900,361.7600,1.799680
FILLER_129_715,VPWR,li1,335.1100,361.7600,1.799680
FILLER_129_712,VPWR,li1,333.7300,361.7600,1.799680
FILLER_129_709,VPWR,li1,332.3500,361.7600,1.799680
FILLER_129_706,VPWR,li1,330.9700,361.7600,1.799680
FILLER_129_703,VPWR,li1,329.5900,361.7600,1.799680
FILLER_129_700,VPWR,li1,328.2100,361.7600,1.799680
FILLER_129_697,VPWR,li1,326.8300,361.7600,1.799621
FILLER_129_694,VPWR,li1,325.4500,361.7600,1.799547
FILLER_129_691,VPWR,li1,324.0700,361.7600,1.799547
