net,length_um
_3632_,68.28µm
_0494_,68.2µm
net124,68.2µm
_1638_,68.16µm
net584,68.16µm
_2866_,68.025µm
net196,68.02µm
_1135_,67.98µm
net265,67.9µm
_0885_,67.84µm
net247,67.76µm
net246,67.72µm
_1352_,67.64µm
_3804_,67.615µm
net388,67.52µm
_1615_,67.42µm
_0568_,67.38µm
net404,67.29µm
_1013_,67.28µm
net389,66.91µm
_4095_,66.8µm
net65,66.72µm
_1117_,66.66µm
_3966_,66.64µm
net186,66.52µm
net147,66.42µm
net296,66.26µm
_0463_,66.1µm
net67,66.08µm
net201,66.06µm
_3263_,65.93µm
net154,65.86µm
_0496_,65.835µm
_2865_,65.78µm
net284,65.66µm
_1630_,65.48µm
_1650_,65.46µm
_2599_,65.44µm
_0474_,65.435µm
net80,65.3µm
_0606_,65.18µm
_2926_,65.12µm
_1659_,65.11µm
net377,65.05µm
net105,65.02µm
_4015_,64.995µm
_0546_,64.92µm
_2341_,64.645µm
net321,64.5µm
_1414_,64.49µm
_3499_,64.44µm
accum_reg\[5\],64.22µm
_3627_,64.2µm
_2792_,64.18µm
net161,64.15µm
_3586_,64.11µm
net128,64.04µm
net770,63.98µm
_0904_,63.78µm
net529,63.5µm
clknet_leaf_18_clk,63.3µm
net454,63.2µm
_0777_,63.14µm
net325,63.1µm
_1589_,63.06µm
_3884_,63.025µm
net397,62.98µm
net1206,62.92µm
net206,62.9µm
_2470_,62.87µm
_3769_,62.85µm
_2986_,62.6µm
_0425_,62.36µm
_0453_,62µm
_3410_,61.98µm
net331,61.8µm
net236,61.65µm
accum_reg\[6\],61.64µm
_3679_,61.58µm
_4043_,61.51µm
net244,61.38µm
_2857_,61.22µm
accum_reg\[13\],61.17µm
_2363_,61.16µm
clknet_leaf_33_clk,61.14µm
_2561_,61.12µm
net258,61.04µm
net405,61µm
net53,60.74µm
net343,60.54µm
_4029_,60.36µm
_1771_,60.34µm
_3315_,60.34µm
net374,60.1µm
_1702_,60.04µm
net1215,60.04µm
net52,59.88µm
_1776_,59.71µm
_1083_,59.62µm
net385,59.6µm
_1643_,59.58µm
_1954_,59.56µm
_0975_,59.55µm
_2441_,59.52µm
net380,59.44µm
_1367_,59.35µm
_1645_,59.28µm
_3128_,59.28µm
_1451_,59.16µm
_1110_,58.96µm
_1599_,58.9µm
_0650_,58.88µm
net453,58.88µm
_0556_,58.72µm
accum_reg\[4\],58.72µm
_0859_,58.64µm
_4336_,58.46µm
_2915_,58.315µm
_3346_,58.08µm
net306,57.94µm
net482,57.9µm
data_reg\[5\]\[10\],57.79µm
_1181_,57.75µm
net297,57.75µm
_2612_,57.71µm
net407,57.66µm
_1866_,57.625µm
_2549_,57.56µm
net570,57.52µm
_2632_,57.5µm
_2620_,57.2µm
clknet_leaf_36_clk,57.06µm
_3904_,56.99µm
_3179_,56.78µm
_1300_,56.52µm
_3686_,56.48µm
net508,56.48µm
net62,56.4µm
_2652_,56.36µm
_1495_,56.18µm
_0811_,56.06µm
net83,56.02µm
_3334_,55.64µm
_2521_,55.44µm
_3281_,55.44µm
_3039_,55.38µm
_2748_,55.2µm
_3174_,55.18µm
net289,55.14µm
net329,55.14µm
_2530_,54.975µm
_1213_,54.96µm
_1398_,54.955µm
net252,54.9µm
_1803_,54.7µm
_4112_,54.66µm
_1054_,54.42µm
_2206_,54.34µm
net490,54.34µm
_1462_,54.22µm
_0899_,54.14µm
_1941_,54.14µm
_2075_,54.02µm
net393,53.99µm
_0545_,53.96µm
_1020_,53.955µm
net421,53.8µm
_2157_,53.78µm
accum_reg\[32\],53.77µm
_2568_,53.66µm
net255,53.66µm
_0535_,53.6µm
data_reg\[1\]\[7\],53.42µm
_1753_,53.4µm
_2520_,53.34µm
_2296_,53.28µm
_3463_,53.22µm
_0399_,53.16µm
net373,53.15µm
_0483_,53.14µm
net341,53.08µm
net867,53.08µm
_1404_,53.06µm
net251,53.06µm
_2001_,52.92µm
data_reg\[14\]\[1\],52.92µm
net164,52.8µm
_2993_,52.73µm
_2321_,52.72µm
_2378_,52.68µm
_3509_,52.52µm
net46,52.505µm
accum_reg\[3\],52.34µm
net401,52.14µm
net634,52.1µm
_2864_,52.06µm
net532,51.94µm
_0558_,51.84µm
_3450_,51.74µm
_1073_,51.7µm
_2409_,51.64µm
_2489_,51.52µm
_0680_,51.48µm
_2158_,51.45µm
_4141_,51.38µm
_2631_,51.215µm
_3508_,51.2µm
_2481_,51.16µm
accum_reg\[8\],51µm
_1805_,50.96µm
_0472_,50.92µm
_1937_,50.92µm
_0825_,50.88µm
net509,50.76µm
net73,50.55µm
_1237_,50.515µm
_2747_,50.36µm
_3400_,50.34µm
data_reg\[10\]\[12\],50.34µm
_1695_,50.32µm
_3093_,50.315µm
_1781_,50.24µm
data_reg\[9\]\[14\],50.2µm
_0461_,50.06µm
data_reg\[4\]\[6\],50.06µm
net776,49.9µm
_3603_,49.88µm
_2550_,49.86µm
_1656_,49.735µm
_0979_,49.56µm
_2370_,49.44µm
_4330_,49.42µm
_2237_,49.36µm
_3397_,49.22µm
_4156_,49.12µm
_3598_,49.08µm
_1114_,49.02µm
_3391_,49.02µm
_2116_,48.96µm
_1142_,48.92µm
_1493_,48.82µm
_2923_,48.82µm
net76,48.62µm
_1618_,48.54µm
_4082_,48.54µm
_3826_,48.5µm
_2940_,48.46µm
_1420_,48.38µm
_0922_,48.28µm
_1587_,48.22µm
_0394_,48.16µm
_3185_,48.145µm
net102,48.12µm
_2011_,48.1µm
_1674_,48.09µm
_2187_,48.08µm
_3862_,48.04µm
_3607_,47.96µm
_1422_,47.94µm
_2128_,47.925µm
net675,47.9µm
_1049_,47.88µm
_0589_,47.78µm
net339,47.75µm
_3850_,47.74µm
data_reg\[6\]\[7\],47.69µm
_2323_,47.58µm
_1319_,47.56µm
net50,47.46µm
_2423_,47.41µm
_4335_,47.36µm
accum_reg\[9\],47.36µm
_4030_,47.3µm
_0747_,47.28µm
net195,47.14µm
net51,47.135µm
_2276_,46.96µm
data_reg\[12\]\[14\],46.74µm
_2098_,46.72µm
_1929_,46.69µm
_2200_,46.62µm
_2496_,46.62µm
_3471_,46.6µm
_4034_,46.54µm
_2277_,46.38µm
data_reg\[15\]\[8\],46.34µm
_3261_,46.32µm
_1223_,46.27µm
_4200_,46.18µm
_1042_,46.16µm
_3788_,46.16µm
_1240_,45.98µm
_4165_,45.94µm
_1601_,45.92µm
_2975_,45.86µm
data_reg\[4\]\[11\],45.7µm
net237,45.68µm
_1854_,45.64µm
_3805_,45.58µm
_3747_,45.5µm
_1936_,45.25µm
data_reg\[4\]\[3\],45.22µm
data_reg\[3\]\[7\],45.12µm
_2186_,45.08µm
_0433_,45.06µm
_1304_,44.9µm
net601,44.88µm
_2399_,44.78µm
data_reg\[7\]\[10\],44.74µm
net45,44.72µm
_0994_,44.7µm
_2819_,44.6µm
_3907_,44.58µm
_2804_,44.57µm
net159,44.475µm
net464,44.46µm
_2889_,44.44µm
_2248_,44.36µm
_2558_,44.32µm
_2916_,44.32µm
_0560_,44.24µm
_0653_,44.24µm
_1407_,44.24µm
_1309_,44.22µm
data_reg\[11\]\[14\],44.22µm
_1879_,44.18µm
data_reg\[10\]\[13\],44.17µm
_0962_,44.16µm
_3579_,44.08µm
_3838_,44.06µm
_3872_,44.06µm
_1290_,44.02µm
data_reg\[11\]\[15\],43.98µm
_1820_,43.94µm
_0622_,43.92µm
net375,43.88µm
_2776_,43.86µm
_0783_,43.84µm
_3481_,43.84µm
_4100_,43.8µm
_3187_,43.78µm
_3793_,43.78µm
_3951_,43.74µm
data_reg\[12\]\[12\],43.725µm
_1884_,43.66µm
_1768_,43.58µm
_3529_,43.54µm
_0627_,43.52µm
_1481_,43.5µm
_3652_,43.3µm
_3852_,43.22µm
net1235,43.2µm
_3109_,43.16µm
_4102_,43.13µm
_3974_,43.08µm
data_reg\[12\]\[13\],43.065µm
data_reg\[0\]\[6\],43.02µm
_1305_,43µm
_3361_,42.92µm
net294,42.84µm
net139,42.835µm
_1096_,42.74µm
_3827_,42.72µm
_4037_,42.64µm
_2882_,42.62µm
_1887_,42.605µm
_2366_,42.58µm
_1091_,42.56µm
_2336_,42.48µm
data_reg\[5\]\[11\],42.465µm
_2670_,42.46µm
data_reg\[6\]\[10\],42.4µm
accum_reg\[35\],42.34µm
data_reg\[0\]\[2\],42.34µm
_3937_,42.26µm
data_reg\[13\]\[10\],42.26µm
net470,42.16µm
data_reg\[10\]\[14\],42.04µm
_4096_,41.98µm
data_reg\[5\]\[8\],41.92µm
data_reg\[6\]\[6\],41.92µm
_2084_,41.82µm
_1065_,41.715µm
data_reg\[15\]\[14\],41.62µm
data_reg\[2\]\[3\],41.6µm
_0633_,41.5µm
_0669_,41.48µm
net257,41.44µm
_1744_,41.38µm
net318,41.36µm
_2888_,41.34µm
_1673_,41.32µm
_0378_,41.3µm
_3671_,41.295µm
_2126_,41.29µm
_1282_,41.19µm
_0824_,41.12µm
net369,41.02µm
_3203_,40.92µm
_2781_,40.7µm
_0764_,40.64µm
_2287_,40.55µm
_0775_,40.5µm
net833,40.4µm
_3058_,40.3µm
net456,40.2µm
_1108_,40.16µm
_1571_,40.08µm
_3611_,39.98µm
net292,39.97µm
data_reg\[6\]\[0\],39.92µm
_3748_,39.9µm
_3696_,39.84µm
_0740_,39.82µm
net272,39.82µm
_3990_,39.78µm
mac_valid,39.78µm
net678,39.76µm
_1892_,39.75µm
_1835_,39.72µm
_4101_,39.72µm
_0663_,39.7µm
_3126_,39.48µm
_0701_,39.415µm
_3165_,39.36µm
_3779_,39.205µm
_3137_,39.19µm
_2018_,39.155µm
_1949_,39.04µm
_0993_,38.98µm
_2421_,38.98µm
_1637_,38.94µm
_1663_,38.94µm
net122,38.9µm
_1504_,38.86µm
_3923_,38.8µm
_0911_,38.78µm
_2536_,38.78µm
_3025_,38.78µm
net276,38.74µm
net171,38.68µm
_1009_,38.64µm
_1906_,38.62µm
_3287_,38.6µm
_0602_,38.44µm
_0915_,38.38µm
_1760_,38.29µm
net56,38.24µm
net182,38.22µm
_1050_,38.2µm
data_reg\[5\]\[3\],38.18µm
_3385_,38.12µm
data_reg\[6\]\[11\],38.1µm
_0950_,38.06µm
_1412_,38µm
net575,38µm
_2737_,37.98µm
accum_reg\[26\],37.96µm
data_reg\[9\]\[5\],37.92µm
_3833_,37.9µm
_0376_,37.88µm
net40,37.88µm
_2176_,37.84µm
_3186_,37.8µm
net442,37.8µm
_1492_,37.78µm
accum_reg\[0\],37.7µm
_3409_,37.58µm
net501,37.58µm
net484,37.44µm
_0762_,37.43µm
_2032_,37.4µm
_2458_,37.4µm
_2820_,37.4µm
net314,37.38µm
_2647_,37.34µm
_1631_,37.32µm
_4134_,37.2µm
net812,37.12µm
net298,37.08µm
net850,36.96µm
_2789_,36.94µm
_1048_,36.92µm
net765,36.88µm
_3506_,36.8µm
data_reg\[1\]\[2\],36.8µm
_2528_,36.78µm
_0705_,36.68µm
data_reg\[4\]\[1\],36.66µm
_2529_,36.64µm
clknet_leaf_39_clk,36.56µm
_2133_,36.51µm
_3970_,36.46µm
_1841_,36.32µm
net324,36.32µm
_0832_,36.22µm
_2282_,36.21µm
_0651_,36.2µm
_3247_,36.18µm
_1774_,36.16µm
_1739_,36.1µm
net135,36.1µm
_2008_,36.02µm
_3301_,36.02µm
data_reg\[1\]\[1\],35.98µm
_2881_,35.86µm
_2708_,35.825µm
_2211_,35.82µm
net336,35.82µm
